chinese,pinyin,english
櫻桃,yīngtáo,cherry
檸檬,níngméng,lemon
奇異果,qíyìguǒ,kiwi
蓮霧,liánwù,wax apple
香蕉,xiāngjiāo,banana
鳳梨,fènglí,pineapple
蘋果,píngguǒ,apple
西瓜,xīguā,watermelon
葡萄,pútáo,grapes
葡萄柚,pútáoyòu,grapefruit
芭樂,bālè,guava
木瓜,mùguā,papaya
芒果,mángguǒ,mango
荔枝,lìzhī,lychee
椰子,yézi,coconut
橘子,júzi,mandarin
草莓,cǎoméi,strawberry
包子,bāozi,bao bun
饅頭,mántóu,plain steamed bun (mantou)
春捲,chūnjuǎn,spring roll
炸雞,zhájī,fried chicken
薯條,shǔtiáo,fries
漢堡,hànbǎo,hamburger
三明治,sānmíngzhì,sandwich
麵包,miànbāo,bread
蛋糕,dàngāo,cake
水餃,shuǐjiǎo,dumplings
飯,fàn,rice
麵,miàn,noodles
果汁,guǒzhī,fruit juice
牛奶,niúnǎi,milk
可樂,kělè,cola
咖啡,kāfēi,coffee
冰淇淋,bīngqílín,ice cream
巧克力,qiǎokèlì,chocolate
