chinese,pinyin,english
想,xiǎng,to want to / to plan to / to think / to miss
新,xīn,to be new / newly
照相機,zhàoxiàngjī,camera
照,zhào,to photograph
相機,xiàngjī,camera
機,jī,machine (bound form)
電視機,diànshìjī,television set
請問,qǐngwèn,"excuse me, may I ask?"
問,wèn,to ask
舊,jiù,to be old / to be used
了,le,"particle: completion of action / change of state"
貨,huò,goods / products / a commodity
覺得,juéde,to feel / to think
大,dà,to be big / to be large
小,xiǎo,to be small
千,qiān,thousand
便宜,piányí,to be cheap
只,zhǐ,only
賣,mài,to sell
百,bǎi,hundred
大學,dàxué,university
萬,wàn,ten thousand
知道,zhīdào,to know
真,zhēn,really
學校,xuéxiào,school
有名,yǒumíng,to be famous
億,yì,hundred million
錶,biǎo,watch
夠,gòu,to be enough
