chinese,pinyin,english
您,nín,you (formal / respectful)
貴姓,guìxìng,May I know your last name?
姓,xìng,surname / family name / last name
李,Lǐ,a common Chinese surname
先生,xiānshēng,Mr. / Sir / gentleman / husband
王,Wáng,a common Chinese surname
我,wǒ,I / me
叫,jiào,to be called (by the name of) / to call
好,hǎo,to be good / well
是,shì,to be (am / are / is)
美國人,Měiguórén,American
美國,Měiguó,U.S.A. / America
國,guó,country / nation
人,rén,person
嗎,ma,a question particle
不,bù,not
英國,Yīngguó,England / Britain
你,nǐ,you
什麼,shénme,what
名字,míngzi,full name / first name / given name
哪,nǎ,which
呢,ne,a question particle
臺灣,Táiwān,Taiwan
他,tā,he / him
中國,Zhōngguó,China / Chinese
她,tā,she / her
誰,shéi,who / whom
華人,Huárén,Ethnic Chinese / overseas Chinese / citizen of Chinese origin
