chinese,pinyin,english
喜歡,xǐhuān,to like
看,kàn,to watch / to read / to look at
電影,diànyǐng,movie
電視,diànshì,television / TV / TV set
都,dōu,all / both
有,yǒu,to have / there is / there are
沒,méi,not (have)
要,yào,to want
汽車,qìchē,automobile / car
車,chē,vehicle / car
買,mǎi,to buy
好看,hǎokàn,to be good-looking
可是,kěshì,but
貴,guì,to be expensive
書,shū,book
日本,Rìběn,Japan / Japanese
筆,bǐ,pen
德國,Déguó,Germany / German
報,bào,newspapers
法文,Fǎwén,the French language
法,Fǎ,transliteration of the F in France
法國,Fǎguó,France / French
文,wén,written language
英文,Yīngwén,the English language
中文,Zhōngwén,the Chinese language
華文,Huáwén,the Chinese language
德文,Déwén,the German language
日文,Rìwén,the Japanese language
東西,dōngxī,thing
懂,dǒng,to know / to understand
