chinese,pinyin,english
早,zǎo,Good morning / to be early
趙,Zhào,a common Chinese surname
小姐,xiǎojiě,Miss
張,Zhāng,a common Chinese surname
好久不見,hǎojiǔbújiàn,Long time no see
好,hǎo,very / quite / so
久,jiǔ,to be a long time
見,jiàn,to see / to meet
啊,a,phrase final particle (affirmation / exclamation / interrogative)
很,hěn,very
謝謝,xièxie,to thank / thank you
也,yě,also
這,zhè,this
太太,tàitai,Mrs. / wife
你們,nǐmen,you (plural)
們,men,suffix used after pronouns to denote a group
我們,wǒmen,we / us
他們,tāmen,they / them
天氣,tiānqì,weather
熱,rè,to be hot
忙,máng,to be busy
太,tài,too
去,qù,to go
上課,shàngkè,to go to class / to attend class
再見,zàijiàn,Goodbye
冷,lěng,to be cold
